event	E	sd	signal/noise	char_func_max
CMTSOLUTION_200801011855A	1.26944816033	0.185809725071	6.17063046292	0.838615755847
CMTSOLUTION_200801040729A	0.805850869901	0.0510195903327	4.38415630696	-0.919065569316
CMTSOLUTION_200801051101A	0.92310798436	0.163888755769	24.7517027294	0.806841883817
CMTSOLUTION_200801051144A	0.955170621083	0.237939485547	24.2099551889	0.93553730368
CMTSOLUTION_200801060514A	0.752565499993	0.147007233902	72.0687753541	0.827152696291
CMTSOLUTION_200801090826A	1.06588812003	0.0929700964045	378.787475933	0.843193906735
CMTSOLUTION_200801091440A	0.898898570864	0.153915989241	86.3838113365	0.815352959717
CMTSOLUTION_200801100137A	0.84027148721	0.161702638061	56.1948239035	0.904305044052
CMTSOLUTION_200801202026A	1.34251416665	0.31145137669	18.9366824024	-0.876826794099
CMTSOLUTION_200801221714A	1.75358003985	0.103055129792	28.7345179339	-0.777026499313
CMTSOLUTION_200801300732A	NOT FOUND	NOT FOUND	27.4488737532	0.427823022653
CMTSOLUTION_200802041701A	0.683398257459	0.0865125846232	35.334589442	-0.749036724718
CMTSOLUTION_200802080938A	NOT FOUND	NOT FOUND	880.65068828	-0.41499253759
CMTSOLUTION_200802091833A	0.904035676987	0.111747087368	5.77115442329	-0.728736974081
CMTSOLUTION_200802101222A	0.720026758099	0.0595914134158	5.83018622481	-0.862561318625
CMTSOLUTION_200802121250A	NOT FOUND	NOT FOUND	49.2865591104	-0.52209163187
CMTSOLUTION_200802131958A	1.33773282176	0.0180792176604	21.0558315839	-0.838541457965
CMTSOLUTION_200802141009A	1.38245959993	0.0626188150562	1424.24032849	0.902868279598
CMTSOLUTION_200802141208A	NOT FOUND	NOT FOUND	110.829356434	0.580323071676
CMTSOLUTION_200802161445A	1.7801851207	0.5727011967	22.1243304335	-0.884862132179
CMTSOLUTION_200802200808A	2.3565590702	0.293502060275	927.556589965	-0.773998620967
CMTSOLUTION_200802201827A	0.791622950428	0.177270761059	1355.81831483	0.830983816105
CMTSOLUTION_200802210246A	0.917137400274	0.165602387678	322.593417218	0.936891247045
CMTSOLUTION_200802211416A	0.799129817205	0.0628918195443	49.5769627287	0.920680060707
CMTSOLUTION_200802231557A	0.800436099442	0.123304811432	24.4917311721	-0.692737546371
CMTSOLUTION_200802241446A	0.386665674371	0.015918927057	7.15838000153	-0.619595848419
CMTSOLUTION_200802250836A	0.720538142435	0.0148221563202	155.96280485	0.934405990193
CMTSOLUTION_200802251806A	1.4249598347	0.108908405648	14.9331882031	-0.622036405001
CMTSOLUTION_200802252102A	2.57500602411	0.32604104022	28.0003308072	-0.673442771311
CMTSOLUTION_200802270654A	0.955430440779	0.050127701333	30.8788139227	0.95473107868
CMTSOLUTION_200803030237A	2.2886285433	0.138837091619	11.5230175469	-0.684631944546
CMTSOLUTION_200803030931A	NOT FOUND	NOT FOUND	80.9936529848	0.301884173065
CMTSOLUTION_200803031349A	1.22596981244	0.154451408135	30.6247845155	0.60545901286
CMTSOLUTION_200803031411A	1.2286318975	0.165031715248	26.9943601481	0.684993844366
CMTSOLUTION_200803131328A	0.647708598104	0.0351120950924	21.6267942716	0.957750835583
CMTSOLUTION_200803142232A	0.750400387413	0.0648969854607	99.9802117111	0.616738119695
CMTSOLUTION_200803151443A	NOT FOUND	NOT FOUND	60.7174356003	-0.461291762878
CMTSOLUTION_200803201410A	1.89401363894	0.339699465892	20.5657594481	-0.784617834947
CMTSOLUTION_200803202233A	1.29289028137	0.164257828426	1115.11593412	0.883384292703
CMTSOLUTION_200803222124A	1.75260360289	0.408056024741	14.0426305768	-0.813644917587
CMTSOLUTION_200803242039A	1.23128058281	0.120047592877	24.7763690761	-0.910832045396
CMTSOLUTION_200803291730A	NOT FOUND	NOT FOUND	42.0306023289	-0.551959401617
CMTSOLUTION_200804140945A	NOT FOUND	NOT FOUND	43.7919164474	0.208483997773
CMTSOLUTION_200804150303A	1.19756374349	0.0791367813981	29.2422390058	-0.778551422032
