event	E	sd	signal/noise	char_func_max
CMTSOLUTION_200801011855A	0.766112147867	0.0255299235968	270.010590419	0.914346423847
CMTSOLUTION_200801040729A	0.596910213892	0.010099228831	25.4670991368	0.990763182222
CMTSOLUTION_200801051101A	0.805572786564	0.0116802855441	1222.0445523	0.9776441165
CMTSOLUTION_200801051144A	0.821858620069	0.0129134007135	245.838628019	0.963462602596
CMTSOLUTION_200801060514A	1.28798851515	0.115723131465	346.174838589	0.834317531732
CMTSOLUTION_200801090826A	1.7050451381	0.179511179571	2198.27541647	0.735219988692
CMTSOLUTION_200801091440A	0.679341314917	0.0462493843907	883.159895398	0.939900383193
CMTSOLUTION_200801100137A	0.923798576366	0.0379975924318	860.382055297	0.931882947971
CMTSOLUTION_200801202026A	0.635486462392	0.016328199418	49.9659652169	0.708728211995
CMTSOLUTION_200801221714A	1.13479538268	0.0386481680044	216.280832683	0.9692276223
CMTSOLUTION_200801300732A	0.771762024845	0.110418181697	100.915358184	0.884544659448
CMTSOLUTION_200802041701A	0.799259489578	0.0642857149446	524.118233464	0.939179746647
CMTSOLUTION_200802080938A	0.808533583802	0.0317300490846	10875.7073668	0.902580757457
CMTSOLUTION_200802091833A	0.540184326003	0.0890409796073	54.1383309725	0.894408118242
CMTSOLUTION_200802101222A	0.87974837386	0.0123326958617	223.055994651	0.975017429621
CMTSOLUTION_200802121250A	2.26688514286	0.221306745221	371.386903798	0.761702102925
CMTSOLUTION_200802131958A	0.874686861771	0.0701576481945	147.144428771	0.641796308441
CMTSOLUTION_200802141009A	1.03440472604	0.0558515688417	4502.68123289	0.973904407422
CMTSOLUTION_200802141208A	0.850150671642	0.0314408192324	50.9301724585	0.900380560156
CMTSOLUTION_200802161445A	0.78039373862	0.0143930930115	77.8451137269	0.985278251842
CMTSOLUTION_200802200808A	2.58952432603	0.192092756491	10181.6885837	0.778380015437
CMTSOLUTION_200802201827A	0.929311209325	0.145980005424	10167.1436165	0.740624496645
CMTSOLUTION_200802210246A	0.72012854785	0.0899327989128	1821.03932494	0.967720845394
CMTSOLUTION_200802211416A	0.709127189226	0.0784599939674	392.380234034	0.979301664726
CMTSOLUTION_200802231557A	0.830167708431	0.0940704354485	462.126613424	0.903401131865
CMTSOLUTION_200802241446A	0.8322906777	0.0268110686004	59.9005095588	0.681654653929
CMTSOLUTION_200802250836A	0.899699268453	0.0623627180965	2790.25982927	0.701095973182
CMTSOLUTION_200802251806A	1.4209060403	0.227759619525	497.985188268	0.608711506536
CMTSOLUTION_200802252102A	0.489920419263	0.0162030957645	34.724927779	0.755564752424
CMTSOLUTION_200802270654A	0.668743974711	0.0556927710685	213.505187648	0.975409659251
CMTSOLUTION_200803030237A	2.1675866837	0.0558458485216	167.490616866	0.691561169336
CMTSOLUTION_200803030931A	0.902607702941	0.0350452099033	2594.89621618	0.975335976999
CMTSOLUTION_200803031349A	1.13909774152	0.232506721883	468.963349437	0.939457068449
CMTSOLUTION_200803031411A	1.14336783195	0.232107220462	384.299074122	0.952635189306
CMTSOLUTION_200803131328A	0.91816127353	0.0784669658724	293.769375798	0.968408531182
CMTSOLUTION_200803142232A	1.03458762255	0.0606035545682	820.856861305	0.979661958962
CMTSOLUTION_200803151443A	0.680676667836	0.0927635731961	196.819770318	0.874443087076
CMTSOLUTION_200803201410A	0.669806228432	0.020181349391	93.6636594146	0.85249166853
CMTSOLUTION_200803202233A	1.00369694666	0.121880337944	21798.1172459	0.915681974077
CMTSOLUTION_200803222124A	1.01343568553	0.0339141554898	145.423034728	0.969709581877
CMTSOLUTION_200803242039A	0.738978458566	0.00400044828801	80.5159799359	0.974148793688
CMTSOLUTION_200803291730A	1.35194517082	0.132525583441	574.362194826	0.930348444765
CMTSOLUTION_200804140945A	0.862035725293	0.302926282556	72.6856059823	0.926413205456
CMTSOLUTION_200804150303A	0.957746053028	0.0542226526079	236.621356181	0.95213752465
CMTSOLUTION_200804152259A	1.10109003904	0.0661105560775	2872.92525741	0.89779859039
CMTSOLUTION_200804160554A	0.991506495964	0.016796019854	1430.70586628	0.972823908083
CMTSOLUTION_200804190312A	1.1417872208	0.213967005567	129.903816795	0.858116356451
CMTSOLUTION_200804231828A	1.15930313689	0.0896456320753	606.815367754	0.907080785999
CMTSOLUTION_200804241214A	0.832754330309	0.0445045395688	344.298093515	0.971694919269
CMTSOLUTION_200804281557A	0.923444286573	0.007828974548	164.924276497	0.984374792245
CMTSOLUTION_200805020133A	0.609081465874	0.107906672934	4118.08937381	0.848508919529
CMTSOLUTION_200805071602A	0.9518390362	0.0266546429069	10475.0434589	0.803889478425
CMTSOLUTION_200805071616A	0.94678941402	0.0486365283875	11263.7563078	0.743624541224
CMTSOLUTION_200805071645A	1.04745140454	0.0417891431143	794.707532283	0.853874785123
CMTSOLUTION_200805092151A	0.888490570825	0.0879657718703	2877.71239051	0.968535404826
CMTSOLUTION_200805121111A	0.749210636413	0.0142390649232	14.8093369897	0.791641179341
CMTSOLUTION_200805191426A	1.41502935542	0.212050355062	201.228061635	0.872277380549
CMTSOLUTION_200805201353A	0.879475376466	0.0764725410508	496.52447305	0.745709324191
CMTSOLUTION_200805231935A	0.819675051595	0.0175026293319	8947.84227933	0.983949304462
CMTSOLUTION_200805250821A	0.788642297283	0.074758665216	1017.32074682	0.902399183539
CMTSOLUTION_200805291546A	0.883622025944	0.0181454937297	10876.2264406	0.994412454046
CMTSOLUTION_200805310437A	0.63831119325	0.0351281718152	905.093183554	0.868855281332
CMTSOLUTION_200806010157A	0.84056162687	0.0898472677922	222.306654299	0.78347226061
CMTSOLUTION_200806031620A	0.752105406009	0.11098509573	218.375051119	0.980409283438
CMTSOLUTION_200806032204A	1.10682814022	0.0397486396906	64.7778204077	0.888365186987
CMTSOLUTION_200806050216A	0.816498830496	0.0946858644558	208.82171184	0.935094919471
