event	E	sd	signal/noise	char_func_max
CMTSOLUTION_200801011855A	0.941682437008	0.0275789126952	637.305753198	0.970546669193
CMTSOLUTION_200801040729A	0.733801796564	0.0108885120351	131.683395154	0.944182010355
CMTSOLUTION_200801051101A	0.811135445448	0.0635730120089	1818.57876574	0.974252715538
CMTSOLUTION_200801051144A	0.805643009177	0.0608070296687	137.868676503	0.944301739072
CMTSOLUTION_200801060514A	1.20738789009	0.105286011207	433.342071836	0.950871266579
CMTSOLUTION_200801090826A	0.612030913763	0.0977716229879	2995.58734231	0.875903463392
CMTSOLUTION_200801091440A	0.945128158676	0.0325953856198	475.645461237	0.937643532113
CMTSOLUTION_200801100137A	0.900425082041	0.0255787006843	1019.25063076	0.94317268209
CMTSOLUTION_200801202026A	2.11425644707	0.153410703297	47.6745236159	0.980759907824
CMTSOLUTION_200801221714A	0.914914416579	0.0504660532	214.518725133	0.783189040849
CMTSOLUTION_200801300732A	0.538292531083	0.0855855367871	137.786443089	0.651443585332
CMTSOLUTION_200802041701A	0.824222428884	0.0133280514365	352.610415952	0.988740377438
CMTSOLUTION_200802080938A	0.95451690252	0.068853139561	11070.6807631	0.970583510416
CMTSOLUTION_200802091833A	1.16714837954	0.0827132701183	229.755306483	0.962331239701
CMTSOLUTION_200802101222A	1.19583449395	0.00524167226006	1188.89158439	0.88461309759
CMTSOLUTION_200802121250A	0.996430677258	0.0446008104418	1577.17116094	0.968450078536
CMTSOLUTION_200802131958A	1.54350443452	0.125931968714	305.599261916	0.961423716
CMTSOLUTION_200802141009A	0.789773647923	0.165954819178	7207.95409591	0.849497683817
CMTSOLUTION_200802141208A	1.13491368807	0.250822863894	25.2420296485	0.652039449156
CMTSOLUTION_200802161445A	0.97738109587	0.0962949896789	117.748157808	0.905547461194
CMTSOLUTION_200802200808A	1.01543221156	0.0314465776292	7081.41046028	0.628798201454
CMTSOLUTION_200802201827A	0.881707731681	0.0470131750426	4488.48815028	0.97982056089
CMTSOLUTION_200802210246A	0.991195782499	0.0823493176559	1715.84764364	0.988357695338
CMTSOLUTION_200802211416A	0.982320501241	0.120972577347	350.239742065	0.96845234434
CMTSOLUTION_200802231557A	1.28174874816	0.0485845638153	161.647750162	0.931554070692
CMTSOLUTION_200802241446A	0.753003319904	0.0245548274862	274.980688981	0.983388387621
CMTSOLUTION_200802250836A	0.535617582742	0.0208751793669	3208.08542905	0.969113963838
CMTSOLUTION_200802251806A	0.736205504596	0.03625972373	581.244923029	0.977645555055
CMTSOLUTION_200802252102A	0.725575702799	0.0443432156774	50.3950162648	0.925503179419
CMTSOLUTION_200802270654A	1.86125703534	0.358122382832	140.258539343	0.775772379038
CMTSOLUTION_200803030237A	0.641218056097	0.047630547699	130.365684379	0.878974933051
CMTSOLUTION_200803030931A	1.17811492773	0.0659582580933	1443.09501806	0.929405981645
CMTSOLUTION_200803031349A	1.21833807059	0.0137713394921	439.20996908	0.697275323355
CMTSOLUTION_200803031411A	NOT FOUND	NOT FOUND	540.050757785	0.499307714503
CMTSOLUTION_200803131328A	1.03995332549	0.0817401115527	177.786901447	0.876460219063
CMTSOLUTION_200803142232A	1.81652976928	0.348011032109	242.60039399	0.742746438038
CMTSOLUTION_200803151443A	1.82819711104	0.162750155465	88.5815632399	0.952260537925
CMTSOLUTION_200803201410A	0.843799784701	0.0811657789328	212.65734862	0.95197182328
CMTSOLUTION_200803202233A	0.831709131013	0.125998000087	50986.8707121	0.737235571134
CMTSOLUTION_200803222124A	0.910584984422	0.106119561747	96.6187833918	0.98149017393
CMTSOLUTION_200803242039A	0.799038021091	0.0176028632019	158.213480298	0.998550622312
CMTSOLUTION_200803291730A	1.85710198645	0.270212039402	658.093469427	0.932313630587
CMTSOLUTION_200804140945A	0.855393502975	0.020025700096	167.542860655	0.971643735768
CMTSOLUTION_200804150303A	0.937422941823	0.0810202453726	439.652319688	0.930807319395
CMTSOLUTION_200804152259A	1.07763306589	0.0759298598436	3054.18316142	0.977670626477
CMTSOLUTION_200804160554A	1.09009674006	0.0319609745	1771.7796077	0.97738114652
CMTSOLUTION_200804190312A	0.78619817646	0.101798021787	128.814462792	0.836214172122
CMTSOLUTION_200804231828A	1.82025848798	0.0731803542593	254.751292337	0.714299763098
CMTSOLUTION_200804241214A	0.801908682018	0.0649216307772	656.68381929	0.989332937513
CMTSOLUTION_200804281557A	3.23359383708	0.787632196767	79.8878740807	-0.690537796821
CMTSOLUTION_200805020133A	1.1946865117	0.098035787146	4452.9746465	0.989757282928
CMTSOLUTION_200805071602A	0.801081298595	0.123392724108	5942.62940009	0.947130797674
