event	E	sd	signal/noise	char_func_max
CMTSOLUTION_200801011855A	0.729427899346	0.0301710255456	709.405699059	0.97608893288
CMTSOLUTION_200801040729A	0.782362237821	0.0890282673235	63.5798690478	0.895354928267
CMTSOLUTION_200801051101A	0.913953917925	0.0897177604645	3160.91804462	0.975523940184
CMTSOLUTION_200801051144A	0.915782318997	0.0865987983561	204.193320158	0.937209414565
CMTSOLUTION_200801060514A	1.32593792947	0.103419093379	670.868897391	0.891663128756
CMTSOLUTION_200801090826A	0.681456750692	0.18615137082	4244.77332201	0.851553054873
CMTSOLUTION_200801091440A	1.07262355124	0.0961708104863	592.679210997	0.852002233301
CMTSOLUTION_200801100137A	0.886571722713	0.0743140460656	1371.77190882	0.987882458279
CMTSOLUTION_200801202026A	1.6173195231	0.221405677143	76.2484435693	0.90975079875
CMTSOLUTION_200801221714A	0.94055895707	0.0252903446792	343.873589851	0.918137538958
CMTSOLUTION_200801300732A	1.21711319402	0.252138369682	165.289213601	0.694608248727
CMTSOLUTION_200802041701A	0.719129342301	0.0792738480126	699.52132132	0.796880057437
CMTSOLUTION_200802080938A	1.04901745057	0.0207768645583	9224.21668544	0.980441238887
CMTSOLUTION_200802091833A	1.04833896889	0.0999714497672	246.717854305	0.965999078882
CMTSOLUTION_200802101222A	0.92991025091	0.0136978555829	545.746407855	0.866147462687
CMTSOLUTION_200802121250A	1.0913239124	0.0164978838657	665.520862736	0.94564678783
CMTSOLUTION_200802131958A	1.20667522068	0.173942206233	263.945352178	-0.903514694242
CMTSOLUTION_200802141009A	0.887444398464	0.00612545967904	6349.40308156	0.971001204714
CMTSOLUTION_200802141208A	0.740375938371	0.0340030369989	35.7331645967	0.668935562342
CMTSOLUTION_200802161445A	1.00697803733	0.0951326956482	132.589262586	0.994554461409
CMTSOLUTION_200802200808A	1.03192511986	0.122671298099	9394.01860525	0.85275750276
CMTSOLUTION_200802201827A	1.19422562554	0.0652336902922	8019.6090543	0.875961149509
CMTSOLUTION_200802210246A	1.01598983552	0.0659161440964	1911.43824234	0.981774752323
